ano,rodada,timeId,pontos,vitorias,empates,derrotas,gm,gc,sg,pf,pnr,%
2012,5,1123,3,0,3,2,2,8,-6,11,20,20.0
2012,5,1071,4,1,1,3,5,10,-5,18,15,26.666666666666668
2012,5,931,9,3,0,2,12,7,5,12,8,60.0
2012,5,31,2,0,2,3,4,10,-6,7,6,13.333333333333334
2012,5,985,12,4,0,1,12,6,6,1,5,80.0
2012,5,2288,7,2,1,2,10,7,3,9,14,46.666666666666664
2012,5,29,10,3,1,1,9,5,4,6,17,66.66666666666667
2012,5,631,13,4,1,0,9,2,7,3,10,86.66666666666667
2012,5,512,4,0,4,1,4,5,-1,13,13,26.666666666666668
2012,5,148,8,2,2,1,8,6,2,5,3,53.333333333333336
2012,5,1039,2,0,2,3,3,11,-8,20,18,13.333333333333334
2012,5,180,3,1,0,4,9,15,-6,14,9,20.0
2012,5,405,4,1,1,3,5,9,-4,15,19,26.666666666666668
2012,5,281,9,2,3,0,10,7,3,2,2,60.0
2012,5,11,9,2,3,0,9,2,7,4,1,60.0
2012,6,11,9,2,3,1,10,4,6,4,1,50.0
2012,6,631,16,5,1,0,11,3,8,3,6,88.88888888888889
2012,6,1032,2,0,2,4,6,14,-8,19,19,11.11111111111111
2012,6,762,9,2,3,1,8,8,0,16,11,50.0
2012,6,1123,3,0,3,3,4,13,-9,11,20,16.666666666666668
2012,6,31,5,1,2,3,9,12,-3,7,7,27.77777777777778
2012,6,1039,2,0,2,4,4,13,-9,20,18,11.11111111111111
2012,6,379,11,3,2,1,7,5,2,10,18,61.111111111111114
2012,6,29,13,4,1,1,12,6,6,6,16,72.22222222222223
2012,6,180,3,1,0,5,10,18,-8,14,12,16.666666666666668
2012,6,405,5,1,2,3,6,10,-4,15,17,27.77777777777778
2012,6,984,11,3,2,1,8,5,3,8,17,61.111111111111114
2012,6,289,10,2,4,0,8,4,4,17,20,55.55555555555556
2012,6,1071,4,1,1,4,5,11,-6,18,16,22.22222222222222
2012,6,931,9,3,0,3,13,9,4,12,10,50.0
2012,6,281,12,3,3,0,12,8,4,2,2,66.66666666666667
2012,6,985,12,4,0,2,14,9,5,1,5,66.66666666666667
2012,6,148,11,3,2,1,11,8,3,5,3,61.111111111111114
2012,6,512,7,1,4,1,6,5,1,13,16,38.888888888888886
2012,6,2288,7,2,1,3,10,9,1,9,15,38.888888888888886
2012,7,180,4,1,1,5,12,20,-8,14,14,19.047619047619047
2012,7,931,10,3,1,3,15,11,4,12,9,47.61904761904762
2012,7,984,14,4,2,1,11,7,4,8,18,66.66666666666667
2012,7,1039,2,0,2,5,6,16,-10,20,20,9.523809523809524
2012,7,762,9,2,3,2,8,11,-3,16,10,42.857142857142854
2012,7,985,15,5,0,2,17,9,8,1,5,71.42857142857143
2012,7,148,14,4,2,1,13,8,5,5,4,66.66666666666667
2012,7,405,5,1,2,4,6,12,-6,15,13,23.80952380952381
2012,7,2288,8,2,2,3,12,11,1,9,18,38.095238095238095
2012,7,1032,3,0,3,4,8,16,-8,19,18,14.285714285714286
2012,7,631,19,6,1,0,15,4,11,3,11,90.47619047619048
2012,7,1123,3,0,3,4,5,17,-12,11,20,14.285714285714286
2012,7,379,11,3,2,2,8,8,0,10,18,52.38095238095238
2012,7,11,12,3,3,1,13,5,8,4,1,57.142857142857146
2012,7,281,15,4,3,0,15,8,7,2,2,71.42857142857143
2012,7,289,10,2,4,1,8,7,1,17,20,47.61904761904762
2012,7,1071,5,1,2,4,7,13,-6,18,15,23.80952380952381
2012,7,29,14,4,2,1,14,8,6,6,17,66.66666666666667
2012,7,31,6,1,3,3,9,12,-3,7,6,28.571428571428573
2012,7,512,8,1,5,1,6,5,1,13,13,38.095238095238095
2012,8,289,11,2,5,1,9,8,1,17,20,45.833333333333336
2012,8,762,10,2,4,2,9,12,-3,16,10,41.666666666666664
2012,8,379,14,4,2,2,12,9,3,10,18,58.333333333333336
2012,8,180,4,1,1,6,13,24,-11,14,16,16.666666666666668
2012,8,985,18,6,0,2,21,11,10,1,6,75.0
2012,8,512,8,1,5,2,8,9,-1,13,17,33.333333333333336
2012,8,1123,6,1,3,4,6,17,-11,11,20,25.0
2012,8,11,12,3,3,2,13,6,7,4,1,50.0
2012,8,984,14,4,2,2,12,9,3,8,18,58.333333333333336
2012,8,281,18,5,3,0,17,9,8,2,2,75.0
2012,8,931,13,4,1,3,16,11,5,12,5,54.166666666666664
2012,8,405,5,1,2,5,6,13,-7,15,12,20.833333333333332
2012,8,1039,3,0,3,5,7,17,-10,20,20,12.5
2012,8,29,15,4,3,1,15,9,6,6,15,62.5
2012,8,148,14,4,2,2,15,12,3,5,4,58.333333333333336
2012,8,631,22,7,1,0,19,6,13,3,11,91.66666666666667
2012,8,2288,11,3,2,3,14,12,2,9,13,45.833333333333336
2012,8,1071,5,1,2,5,8,15,-7,18,16,20.833333333333332
2012,8,31,9,2,3,3,10,12,-2,7,7,37.5
2012,8,1032,3,0,3,5,8,17,-9,19,19,12.5
2012,9,180,4,1,1,7,14,26,-12,14,16,14.814814814814815
2012,9,148,17,5,2,2,17,13,4,5,4,62.96296296296296
2012,9,405,6,1,3,5,7,14,-7,15,12,22.22222222222222
2012,9,1123,7,1,4,4,7,18,-11,11,20,25.925925925925927
2012,9,281,21,6,3,0,18,9,9,2,2,77.77777777777777
2012,9,2288,11,3,2,4,14,13,1,9,15,40.74074074074074
2012,9,762,13,3,4,2,11,13,-2,16,6,48.148148148148145
2012,9,984,14,4,2,3,13,11,2,8,19,51.851851851851855
2012,9,1071,8,2,2,5,10,16,-6,18,15,29.62962962962963
2012,9,379,14,4,2,3,13,11,2,10,17,51.851851851851855
2012,9,631,22,7,1,1,21,9,12,3,8,81.48148148148148
2012,9,985,21,7,0,2,24,13,11,1,9,77.77777777777777
2012,9,29,16,4,4,1,17,11,6,6,13,59.25925925925926
2012,9,31,10,2,4,3,12,14,-2,7,5,37.03703703703704
2012,9,1032,4,0,4,5,11,20,-9,19,18,14.814814814814815
2012,9,931,14,4,2,3,19,14,5,12,7,51.851851851851855
2012,9,11,15,4,3,2,14,6,8,4,1,55.55555555555556
2012,9,1039,3,0,3,6,7,18,-11,20,19,11.11111111111111
2012,9,512,9,1,6,2,8,9,-1,13,17,33.333333333333336
2012,9,289,12,2,6,1,9,8,1,17,20,44.44444444444444
2012,10,379,15,4,3,3,13,11,2,10,16,50.0
2012,10,281,22,6,4,0,18,9,9,2,2,73.33333333333333
2012,10,148,17,5,2,3,17,14,3,5,3,56.666666666666664
2012,10,1071,11,3,2,5,11,16,-5,18,14,36.666666666666664
2012,10,31,11,2,5,3,13,15,-2,7,8,36.666666666666664
2012,10,762,14,3,5,2,12,14,-2,16,5,46.666666666666664
2012,10,931,15,4,3,3,21,16,5,12,9,50.0
2012,10,29,17,4,5,1,19,13,6,6,15,56.666666666666664
2012,10,1123,10,2,4,4,8,18,-10,11,20,33.333333333333336
2012,10,512,9,1,6,3,8,10,-2,13,14,30.0
2012,10,985,24,8,0,2,26,14,12,1,7,80.0
2012,10,11,15,4,3,3,15,8,7,4,1,50.0
2012,10,984,17,5,2,3,15,11,4,8,18,56.666666666666664
2012,10,180,4,1,1,8,14,28,-14,14,17,13.333333333333334
2012,10,2288,12,3,3,4,15,14,1,9,17,40.0
2012,10,631,23,7,2,1,22,10,12,3,6,76.66666666666667
2012,10,1039,4,0,4,6,8,19,-11,20,19,13.333333333333334
2012,10,1032,5,0,5,5,12,21,-9,19,18,16.666666666666668
2012,10,289,12,2,6,2,9,9,0,17,20,40.0
2012,10,405,9,2,3,5,8,14,-6,15,12,30.0
2012,11,631,24,7,3,1,23,11,12,3,5,72.72727272727273
2012,11,31,12,2,6,3,14,16,-2,7,8,36.36363636363637
2012,11,29,20,5,5,1,21,14,7,6,16,60.60606060606061
2012,11,289,12,2,6,3,10,11,-1,17,20,36.36363636363637
2012,11,405,9,2,3,6,10,17,-7,15,13,27.272727272727273
2012,11,985,27,9,0,2,29,16,13,1,7,81.81818181818181
2012,11,180,5,1,2,8,15,29,-14,14,18,15.151515151515152
2012,11,2288,13,3,4,4,16,15,1,9,19,39.39393939393939
2012,11,1032,6,0,6,5,12,21,-9,19,18,18.181818181818183
2012,11,1123,11,2,5,4,8,18,-10,11,20,33.333333333333336
2012,11,1071,11,3,2,6,12,18,-6,18,15,33.333333333333336
2012,11,984,20,6,2,3,17,12,5,8,19,60.60606060606061
2012,11,281,25,7,4,0,20,10,10,2,2,75.75757575757575
2012,11,148,17,5,2,4,18,16,2,5,3,51.515151515151516
2012,11,762,14,3,5,3,12,15,-3,16,6,42.42424242424242
2012,11,379,18,5,3,3,14,11,3,10,15,54.54545454545455
2012,11,11,16,4,4,3,18,11,7,4,1,48.484848484848484
2012,11,931,16,4,4,3,24,19,5,12,10,48.484848484848484
2012,11,512,12,2,6,3,9,10,-1,13,14,36.36363636363637
2012,11,1039,4,0,4,7,8,20,-12,20,19,12.121212121212121
2012,12,1123,14,3,5,4,9,18,-9,11,19,38.888888888888886
